anySimpleType,AnySimpleType,java.lang.Object
anyURI,AnyURI,java.lang.String
base64Binary,Base64Binary,byte[]
boolean,Boolean,java.lang.boolean
byte,Byte,byte
date,Date,java.lang.Object
dateTime,DateTime,java.lang.Object
decimal,Decimal,java.math.BigDecimal
double,Double,double
duration,Duration,java.lang.Object
ENTITIES,ENTITIES,java.util.List
ENTITY,ENTITY,java.lang.String
float,Float,float
gDay,GDay,java.lang.Object
gMonth,GMonth,java.lang.Object
gMonthDay,GMonthDay,java.lang.Object
gYear,GYear,java.lang.Object
gYearMonth,GYearMonth,java.lang.Object
hexBinary,HexBinary,byte[]
ID,ID,java.lang.String
IDREF,IDREF,java.lang.String
IDREFS,IDREFS,java.util.List
int,Int,int
integer,Integer,java.math.BigInteger
language,Language,java.lang.String
long,Long,long
Name,Name,java.lang.String
NCName,NCName,java.lang.String
negativeInteger,NegativeInteger,java.math.BigInteger
NMTOKEN,NMToken,java.lang.String
NMTOKENS,NMTOKENS,java.util.List
nonNegativeInteger,NonNegativeInteger,java.math.BigInteger
nonPositiveInteger,NonPositiveInteger,java.math.BigInteger
normalizedString,NormalizedString,java.lang.String
NOTATION,NOTATION,java.lang.Object
positiveInteger,PositiveInteger,java.math.BigInteger
QName,QName,java.lang.Object
short,Short,short
string,String,java.lang.String
time,Time,java.lang.Object
token,Token,java.lang.String
unsignedByte,UnsignedByte,short
unsignedInt,UnsignedInt,long
unsignedLong,UnsignedLong,java.math.BigInteger
unsignedShort,UnsignedShort,int